id,edge_id,s_id,e_id,direction,class,attribute,width,length,speed_limit,line_string
400416,681907,717225,750135,2,0x03,0x01,11,140,60,"LINESTRING (116.43352 39.93335, 116.43367 39.93313, 116.43372 39.93301, 116.43375 39.93294, 116.43376 39.93288, 116.43378 39.93247, 116.43379 39.93213)"
400429,681920,750142,757742,2,0x03,0x0a,11,12,50,"LINESTRING (116.43464 39.92701, 116.43463 39.92712)"
400430,681921,740604,750143,2,0x03,0x0a,11,54,50,"LINESTRING (116.43466 39.92646, 116.43464 39.92695)"
400431,681922,750143,750142,2,0x03,0x04,11,7,50,"LINESTRING (116.43464 39.92695, 116.43464 39.92701)"
400458,681941,740112,741135,3,0x03,0x00,15,7,30,"LINESTRING (116.43398 39.9247, 116.43392 39.92466)"
400645,682051,741467,743000,2,0x03,0x01,11,321,60,"LINESTRING (116.45778 39.92024, 116.45887 39.91998, 116.45905 39.91994, 116.45963 39.91977, 116.45993 39.91969, 116.46069 39.91946, 116.46132 39.91928)"
400646,682052,741342,780936,2,0x03,0x0a,15,26,50,"LINESTRING (116.46024 39.95357, 116.46043 39.95339)"
400647,682053,780936,741343,2,0x03,0x0a,15,98,50,"LINESTRING (116.46043 39.95339, 116.46053 39.9533, 116.46075 39.95303, 116.4609 39.95282, 116.46101 39.95263)"
400650,682055,780937,743896,3,0x03,0x02,11,113,60,"LINESTRING (116.40765 39.97232, 116.40765 39.97244, 116.40762 39.97334)"
400651,682056,755425,742043,3,0x03,0x02,11,209,60,"LINESTRING (116.40788 39.95904, 116.40793 39.95716)"
400652,682057,736163,755424,3,0x03,0x02,11,210,60,"LINESTRING (116.40809 39.95715, 116.40804 39.95904)"
400655,682060,740201,740483,2,0x03,0x0a,11,43,60,"LINESTRING (116.45444 39.98095, 116.4546 39.98085, 116.45483 39.9807)"
400656,682063,741311,780941,2,0x03,0x04,11,10,40,"LINESTRING (116.47451 39.96768, 116.4746 39.96762)"
400657,682064,780941,740176,2,0x03,0x0a,11,38,60,"LINESTRING (116.4746 39.96762, 116.47494 39.9674)"
